#Frame             d1           d2           d3
     641      32.1808      11.5540    -107.5494
     642      39.0835      16.4085    -123.7171
     643      47.8618       4.1029    -117.8234
     644      36.3190      16.5788    -105.4045
     645      31.7760      14.5462    -111.5666
     646      36.3212      10.6852    -109.0572
     647      22.1922      46.1167    -106.8350
     648      27.4245      63.1410     -87.9493
     649      37.4647    -171.1863     -46.7797
     650      46.4438    -119.6077     -66.2396
     651      51.5673     -79.9608     -97.2588
     652      51.0595     -30.7611    -110.6009
     653      44.1348     -89.5113     -76.5588
     654      38.7976    -134.4405     -51.7802
     655      25.1798     178.9121     -53.0635
     656      25.7988    -167.5764     -52.6505
     657      42.8581    -141.7998     -54.1364
     658      18.8291    -172.3887     -52.0148
     659       8.6200     126.6343     -57.7948
     660      18.7045    -178.8764     -46.1542
     661      12.5578     170.2586     -43.7648
     662      34.3626    -164.2676     -48.2103
     663      18.5413     166.8080     -42.4713
     664      18.4686    -177.3285     -46.8275
     665      15.3162     165.5075     -46.8654
     666      15.5404    -168.0659     -48.6764
     667      12.3898     160.0932     -44.7973
     668      22.3984     164.9126     -38.8125
     669      21.6869     129.3356     -57.9486
     670      11.1817     125.3226     -54.0455
     671      15.3853     129.2150     -56.8722
     672      14.0107     148.2093     -58.4670
     673      15.1446     138.0625     -49.7565
     674      29.6847     149.6898     -56.7164
     675      15.8875     137.4869     -39.8662
     676      18.6892     138.1365     -50.5776
     677      19.6913     130.7233     -48.4745
     678      29.2468     147.0198     -64.0289
     679      23.3701     145.7974     -48.6944
     680      16.5634     129.0342     -62.0846
     681      15.0782     138.0644     -64.3736
     682      28.7949     154.4930     -52.6733
     683       9.8594     128.6648     -63.0930
     684      13.9894     140.9089     -62.3469
     685      23.1023    -167.7349     -49.6622
     686      14.5981     177.7405     -47.4244
     687       9.0223     174.7255     -45.2943
     688       5.3474     177.2940     -56.8266
     689      18.9470     129.8872     -53.4742
     690      19.4885      91.4747     -70.2345
     691      22.6378      83.7575     -78.9732
     692      21.9459      98.2195     -76.7712
     693      18.6127      97.8565     -62.7013
     694      11.6285      73.1913     -93.7461
     695      41.2554      15.6123    -102.4730
     696      23.8136      15.4653    -119.2051
     697      33.8372      -3.4232    -111.3518
     698      57.7517     -33.4613     -90.6261
     699      44.9240     -96.7181     -65.8276
     700      49.3994     -98.3569     -75.6507
     701      35.2082    -108.1754     -69.7382
     702      28.4031    -120.5629     -56.4494
     703      41.3692    -109.5726     -75.2829
     704      59.0271     -94.4196     -72.3122
     705      24.1186     179.4575     -54.5082
     706      23.6838    -170.8069     -44.0903
     707      25.1483    -154.6889     -52.4906
     708      27.2574    -159.4525     -59.4120
     709      28.0576    -165.3685     -54.6025
