Delta_59.8469	Delta_-94.5263	Delta_-73.7151
-0.151964	0.721041	0.508910
-0.079718	0.536153	0.316964
-0.042968	0.495670	0.401464
0.063204	1.030388	0.520817
-0.020775	-0.327989	0.057907
0.034296	-0.349443	0.026754
-0.145646	0.082320	0.286203
0.200819	-0.611998	-0.290739
-0.030814	-0.530097	-0.194126
-0.015909	0.223479	0.240197
0.165712	-1.340340	-0.292899
0.121616	-0.253401	-0.027632
-0.077892	0.700113	0.530667
-0.074484	0.560657	0.433350
0.094693	-0.128348	0.199179
0.046639	-0.607692	-0.080161
-0.178175	0.393914	0.528243
-0.352614	0.462785	0.305052
-0.247338	0.555475	0.550540
-0.301066	0.525899	0.251781
0.122206	1.801222	0.327024
-0.006000	1.507317	0.575699
-0.188496	1.251457	0.485249
0.109146	1.685021	0.726657
0.070314	1.733007	0.412119
0.155919	1.503868	0.584181
0.128172	1.562873	0.342432
-0.034915	1.641295	0.679727
-0.057828	1.539743	0.427346
0.076877	1.640578	0.465336
0.719655	-2.282793	-0.360543
0.491675	-2.435642	-0.409425
0.797307	-2.324885	-0.290433
0.664649	-3.070624	0.127313
0.503505	2.846302	0.248840
0.527370	2.903659	0.228820
0.431456	2.967430	0.045979
0.390622	2.638030	0.267082
0.677673	-3.113041	0.009795
0.494155	-2.033705	-0.457053
0.440472	-2.333530	-0.423305
0.564614	-2.480424	-0.317512
0.800563	-2.272202	-0.326359
0.627853	-2.353405	-0.247013
0.489804	-2.332702	-0.676378
0.527526	-2.253068	-0.669767
0.560218	-2.130700	-0.827557
